Epoch,Iteration,Time,Loss,LossEpoch,ValidLossEpoch,Alpha,AlphaEpoch,Beta
0,0,0,2.2191288471221924,2.2191288471221924,2.2857886707305908,0.001,0.001,0.001
1,2,0.06291699409484863,2.334371566772461,nan,nan,0.001,nan,0.001
1,3,0.12235379219055176,2.2923200130462646,nan,nan,0.001,nan,0.001
1,4,0.15645146369934082,2.261373996734619,nan,nan,0.001,nan,0.001
1,5,0.18869256973266602,2.2587904930114746,nan,nan,0.001,nan,0.001
1,6,0.2202751636505127,2.0999436378479004,nan,nan,0.001,nan,0.001
1,7,0.2515721321105957,2.043520927429199,nan,nan,0.001,nan,0.001
1,8,0.28281712532043457,2.039895534515381,nan,nan,0.001,nan,0.001
1,9,0.3135824203491211,1.9003963470458984,nan,nan,0.001,nan,0.001
1,10,0.3453640937805176,1.8970507383346558,nan,nan,0.001,nan,0.001
1,11,0.376922607421875,1.9037739038467407,nan,nan,0.001,nan,0.001
1,12,0.4082181453704834,1.774580717086792,nan,nan,0.001,nan,0.001
1,13,0.43924379348754883,1.6658375263214111,nan,nan,0.001,nan,0.001
1,14,0.47004032135009766,1.7058223485946655,nan,nan,0.001,nan,0.001
1,15,0.5010664463043213,1.6833133697509766,nan,nan,0.001,nan,0.001
1,16,0.5319616794586182,1.5450268983840942,nan,nan,0.001,nan,0.001
1,17,0.5626990795135498,1.4317495822906494,nan,nan,0.001,nan,0.001
1,18,0.5933897495269775,1.4158178567886353,nan,nan,0.001,nan,0.001
1,19,0.6243014335632324,1.3963186740875244,nan,nan,0.001,nan,0.001
1,20,0.6551089286804199,1.465477705001831,nan,nan,0.001,nan,0.001
1,21,0.6857130527496338,1.4426429271697998,nan,nan,0.001,nan,0.001
1,22,0.7166459560394287,1.369709849357605,nan,nan,0.001,nan,0.001
1,23,0.7475640773773193,1.2229489088058472,nan,nan,0.001,nan,0.001
1,24,0.7784252166748047,1.2429982423782349,nan,nan,0.001,nan,0.001
1,25,0.8088057041168213,1.1067769527435303,nan,nan,0.001,nan,0.001
1,26,0.8397059440612793,1.208512783050537,nan,nan,0.001,nan,0.001
1,27,0.8706328868865967,1.1140241622924805,nan,nan,0.001,nan,0.001
1,28,0.9015102386474609,1.2403422594070435,nan,nan,0.001,nan,0.001
1,29,0.9319863319396973,1.1429718732833862,nan,nan,0.001,nan,0.001
1,30,0.962843656539917,0.9899559020996094,nan,nan,0.001,nan,0.001
1,31,0.9937326908111572,0.9963414072990417,nan,nan,0.001,nan,0.001
1,32,1.0247042179107666,0.9672816395759583,nan,nan,0.001,nan,0.001
1,33,1.055558681488037,1.088235855102539,nan,nan,0.001,nan,0.001
1,34,1.0862936973571777,1.0359076261520386,nan,nan,0.001,nan,0.001
1,35,1.117173433303833,1.049288034439087,nan,nan,0.001,nan,0.001
1,36,1.1479074954986572,0.9928557872772217,nan,nan,0.001,nan,0.001
1,37,1.1790080070495605,0.9805042147636414,nan,nan,0.001,nan,0.001
1,38,1.2097601890563965,0.8770446181297302,nan,nan,0.001,nan,0.001
1,39,1.2414472103118896,0.8886290192604065,nan,nan,0.001,nan,0.001
1,40,1.2723419666290283,0.875939130783081,nan,nan,0.001,nan,0.001
1,41,1.303222894668579,0.8196973204612732,nan,nan,0.001,nan,0.001
1,42,1.3341517448425293,1.0022615194320679,nan,nan,0.001,nan,0.001
1,43,1.3650360107421875,0.8445382118225098,nan,nan,0.001,nan,0.001
1,44,1.3960928916931152,0.8081992268562317,nan,nan,0.001,nan,0.001
1,45,1.4272279739379883,0.8856177926063538,nan,nan,0.001,nan,0.001
1,46,1.4582173824310303,0.8466957807540894,nan,nan,0.001,nan,0.001
1,47,1.4889516830444336,0.9518644213676453,nan,nan,0.001,nan,0.001
1,48,1.5197429656982422,0.739341139793396,nan,nan,0.001,nan,0.001
1,49,1.5509076118469238,0.8048140406608582,nan,nan,0.001,nan,0.001
1,50,1.5817959308624268,0.729454755783081,nan,nan,0.001,nan,0.001
1,51,1.6125733852386475,0.7000699043273926,nan,nan,0.001,nan,0.001
1,52,1.6436917781829834,0.822480320930481,nan,nan,0.001,nan,0.001
1,53,1.6751277446746826,0.7505783438682556,nan,nan,0.001,nan,0.001
1,54,1.7058765888214111,0.8161629438400269,nan,nan,0.001,nan,0.001
1,55,1.7366645336151123,0.7931480407714844,nan,nan,0.001,nan,0.001
1,56,1.767723560333252,0.7718666195869446,nan,nan,0.001,nan,0.001
1,57,1.7986817359924316,0.7872388362884521,nan,nan,0.001,nan,0.001
1,58,1.8293583393096924,0.7464356422424316,nan,nan,0.001,nan,0.001
1,59,1.8601405620574951,0.751501202583313,nan,nan,0.001,nan,0.001
1,60,1.8907744884490967,0.7041510939598083,nan,nan,0.001,nan,0.001
1,61,1.9216282367706299,0.6312447786331177,nan,nan,0.001,nan,0.001
1,62,1.9532618522644043,0.7213048934936523,nan,nan,0.001,nan,0.001
1,63,1.984910011291504,0.5923360586166382,nan,nan,0.001,nan,0.001
1,64,2.017132520675659,0.6614384651184082,nan,nan,0.001,nan,0.001
1,65,2.04811429977417,0.6807486414909363,nan,nan,0.001,nan,0.001
1,66,2.079237699508667,0.7732072472572327,nan,nan,0.001,nan,0.001
1,67,2.1102750301361084,0.67330002784729,nan,nan,0.001,nan,0.001
1,68,2.1411001682281494,0.6424418687820435,nan,nan,0.001,nan,0.001
1,69,2.171773910522461,0.7081766128540039,nan,nan,0.001,nan,0.001
1,70,2.2026569843292236,0.620462954044342,nan,nan,0.001,nan,0.001
1,71,2.2334249019622803,0.6295216679573059,nan,nan,0.001,nan,0.001
1,72,2.264857053756714,0.5755490064620972,nan,nan,0.001,nan,0.001
1,73,2.2954354286193848,0.6688880324363708,nan,nan,0.001,nan,0.001
1,74,2.325575828552246,0.6097346544265747,nan,nan,0.001,nan,0.001
1,75,2.3566970825195312,0.6013956069946289,nan,nan,0.001,nan,0.001
1,76,2.387885808944702,0.7034845352172852,nan,nan,0.001,nan,0.001
1,77,2.418865919113159,0.6536397933959961,nan,nan,0.001,nan,0.001
1,78,2.449699878692627,0.706752598285675,nan,nan,0.001,nan,0.001
1,79,2.4808409214019775,0.6400547027587891,nan,nan,0.001,nan,0.001
1,80,2.5118327140808105,0.683422863483429,nan,nan,0.001,nan,0.001
1,81,2.5429329872131348,0.6241766214370728,nan,nan,0.001,nan,0.001
1,82,2.5735738277435303,0.6011598110198975,nan,nan,0.001,nan,0.001
1,83,2.604261636734009,0.638953685760498,nan,nan,0.001,nan,0.001
1,84,2.635204315185547,0.6396757364273071,nan,nan,0.001,nan,0.001
1,85,2.666222333908081,0.6240370273590088,nan,nan,0.001,nan,0.001
1,86,2.69956111907959,0.6721348166465759,nan,nan,0.001,nan,0.001
1,87,2.7304341793060303,0.6395403146743774,nan,nan,0.001,nan,0.001
1,88,2.7613167762756348,0.5726015567779541,nan,nan,0.001,nan,0.001
1,89,2.7923552989959717,0.629068911075592,nan,nan,0.001,nan,0.001
1,90,2.823265790939331,0.5705525279045105,nan,nan,0.001,nan,0.001
1,91,2.8543620109558105,0.5903518795967102,nan,nan,0.001,nan,0.001
1,92,2.8852038383483887,0.5670945048332214,nan,nan,0.001,nan,0.001
1,93,2.9159364700317383,0.5706886649131775,nan,nan,0.001,nan,0.001
1,94,2.9467382431030273,0.6390674114227295,nan,nan,0.001,nan,0.001
1,95,2.977814197540283,0.6880735158920288,nan,nan,0.001,nan,0.001
1,96,3.008587598800659,0.610917329788208,nan,nan,0.001,nan,0.001
1,97,3.039782762527466,0.6014604568481445,nan,nan,0.001,nan,0.001
1,98,3.0708086490631104,0.5067013502120972,nan,nan,0.001,nan,0.001
1,99,3.1025779247283936,0.567819356918335,nan,nan,0.001,nan,0.001
1,100,3.1339833736419678,0.5159074068069458,nan,nan,0.001,nan,0.001
1,101,3.1656956672668457,0.6123851537704468,nan,nan,0.001,nan,0.001
1,102,3.1966755390167236,0.5491289496421814,nan,nan,0.001,nan,0.001
1,103,3.228193998336792,0.5913703441619873,nan,nan,0.001,nan,0.001
1,104,3.259333372116089,0.5129632949829102,nan,nan,0.001,nan,0.001
1,105,3.290236711502075,0.6077240109443665,nan,nan,0.001,nan,0.001
1,106,3.321274518966675,0.6468133330345154,nan,nan,0.001,nan,0.001
1,107,3.353778600692749,0.4917522966861725,nan,nan,0.001,nan,0.001
1,108,3.3849689960479736,0.5714884996414185,nan,nan,0.001,nan,0.001
1,109,3.416222095489502,0.6452914476394653,nan,nan,0.001,nan,0.001
1,110,3.447117567062378,0.6922195553779602,nan,nan,0.001,nan,0.001
1,111,3.4780466556549072,0.5803903341293335,nan,nan,0.001,nan,0.001
1,112,3.5087814331054688,0.5189754366874695,nan,nan,0.001,nan,0.001
1,113,3.539994478225708,0.5345495939254761,nan,nan,0.001,nan,0.001
1,114,3.5712783336639404,0.6071584820747375,nan,nan,0.001,nan,0.001
1,115,3.602385997772217,0.5653279423713684,nan,nan,0.001,nan,0.001
1,116,3.6334993839263916,0.5807734131813049,nan,nan,0.001,nan,0.001
1,117,3.664558172225952,0.5534918308258057,nan,nan,0.001,nan,0.001
1,118,3.695213556289673,0.5595014095306396,nan,nan,0.001,nan,0.001
1,119,3.7258999347686768,0.693891704082489,nan,nan,0.001,nan,0.001
1,120,3.75701904296875,0.4965780973434448,nan,nan,0.001,nan,0.001
1,121,3.788133144378662,0.4448021650314331,nan,nan,0.001,nan,0.001
1,122,3.818782091140747,0.5482323169708252,nan,nan,0.001,nan,0.001
1,123,3.849470376968384,0.5430312156677246,nan,nan,0.001,nan,0.001
1,124,3.8803205490112305,0.424742728471756,nan,nan,0.001,nan,0.001
1,125,3.9112846851348877,0.520841658115387,nan,nan,0.001,nan,0.001
1,126,3.942074775695801,0.5026285648345947,nan,nan,0.001,nan,0.001
1,127,3.9727418422698975,0.5248739719390869,nan,nan,0.001,nan,0.001
1,128,4.003430604934692,0.5616525411605835,nan,nan,0.001,nan,0.001
1,129,4.0349016189575195,0.5781228542327881,nan,nan,0.001,nan,0.001
1,130,4.065638303756714,0.6092966794967651,nan,nan,0.001,nan,0.001
1,131,4.096362113952637,0.4525625705718994,nan,nan,0.001,nan,0.001
1,132,4.127406597137451,0.6615431904792786,nan,nan,0.001,nan,0.001
1,133,4.158418655395508,0.5358625650405884,nan,nan,0.001,nan,0.001
1,134,4.189251661300659,0.5715819001197815,nan,nan,0.001,nan,0.001
1,135,4.222052097320557,0.5388579964637756,nan,nan,0.001,nan,0.001
1,136,4.254062175750732,0.4764729142189026,nan,nan,0.001,nan,0.001
1,137,4.285151720046997,0.5113267302513123,nan,nan,0.001,nan,0.001
1,138,4.316149473190308,0.541082501411438,nan,nan,0.001,nan,0.001
1,139,4.347533464431763,0.5042080283164978,nan,nan,0.001,nan,0.001
1,140,4.378671646118164,0.49331748485565186,nan,nan,0.001,nan,0.001
1,141,4.4100565910339355,0.6717104315757751,nan,nan,0.001,nan,0.001
1,142,4.441215753555298,0.5772303938865662,nan,nan,0.001,nan,0.001
1,143,4.472095012664795,0.552845299243927,nan,nan,0.001,nan,0.001
1,144,4.503626823425293,0.4987964630126953,nan,nan,0.001,nan,0.001
1,145,4.534871578216553,0.537227988243103,nan,nan,0.001,nan,0.001
1,146,4.566675662994385,0.604178786277771,nan,nan,0.001,nan,0.001
1,147,4.597601890563965,0.5239844918251038,nan,nan,0.001,nan,0.001
1,148,4.628647089004517,0.5128000974655151,nan,nan,0.001,nan,0.001
1,149,4.659561395645142,0.586924135684967,nan,nan,0.001,nan,0.001
1,150,4.690735101699829,0.5904933214187622,nan,nan,0.001,nan,0.001
1,151,4.72177529335022,0.5139076113700867,nan,nan,0.001,nan,0.001
1,152,4.752862215042114,0.42029866576194763,nan,nan,0.001,nan,0.001
1,153,4.783579587936401,0.5558923482894897,nan,nan,0.001,nan,0.001
1,154,4.814700126647949,0.4891599118709564,nan,nan,0.001,nan,0.001
1,155,4.845562219619751,0.4996280372142792,nan,nan,0.001,nan,0.001
1,156,4.876513242721558,0.5277860164642334,nan,nan,0.001,nan,0.001
1,157,4.907421588897705,0.4024408161640167,nan,nan,0.001,nan,0.001
1,158,4.938230514526367,0.3908873498439789,nan,nan,0.001,nan,0.001
1,159,4.968943357467651,0.5032138824462891,nan,nan,0.001,nan,0.001
1,160,4.999854564666748,0.6183381676673889,nan,nan,0.001,nan,0.001
1,161,5.0306761264801025,0.4844474792480469,nan,nan,0.001,nan,0.001
1,162,5.061880826950073,0.5018040537834167,nan,nan,0.001,nan,0.001
1,163,5.095353364944458,0.6077776551246643,nan,nan,0.001,nan,0.001
1,164,5.127070426940918,0.5545617341995239,nan,nan,0.001,nan,0.001
1,165,5.1580541133880615,0.4005165100097656,nan,nan,0.001,nan,0.001
1,166,5.188905954360962,0.4125208556652069,nan,nan,0.001,nan,0.001
1,167,5.219978094100952,0.5350505709648132,nan,nan,0.001,nan,0.001
1,168,5.251190185546875,0.4861701428890228,nan,nan,0.001,nan,0.001
1,169,5.282000541687012,0.4405154883861542,nan,nan,0.001,nan,0.001
1,170,5.313030242919922,0.4273643493652344,nan,nan,0.001,nan,0.001
1,171,5.344189405441284,0.5486158728599548,nan,nan,0.001,nan,0.001
1,172,5.375065565109253,0.5245054364204407,nan,nan,0.001,nan,0.001
1,173,5.405900001525879,0.4900747835636139,nan,nan,0.001,nan,0.001
1,174,5.436742067337036,0.4614366888999939,nan,nan,0.001,nan,0.001
1,175,5.467611789703369,0.4943625032901764,nan,nan,0.001,nan,0.001
1,176,5.499404668807983,0.46351534128189087,nan,nan,0.001,nan,0.001
1,177,5.53047513961792,0.5964130163192749,nan,nan,0.001,nan,0.001
1,178,5.5620527267456055,0.4612101912498474,nan,nan,0.001,nan,0.001
1,179,5.592862606048584,0.5083419680595398,nan,nan,0.001,nan,0.001
1,180,5.624236583709717,0.4292656183242798,nan,nan,0.001,nan,0.001
1,181,5.655273675918579,0.47210022807121277,nan,nan,0.001,nan,0.001
1,182,5.686033248901367,0.46958497166633606,nan,nan,0.001,nan,0.001
1,183,5.716671705245972,0.4856908321380615,nan,nan,0.001,nan,0.001
1,184,5.74791693687439,0.509323000907898,nan,nan,0.001,nan,0.001
1,185,5.778750896453857,0.4830142855644226,nan,nan,0.001,nan,0.001
1,186,5.809493780136108,0.4211238622665405,nan,nan,0.001,nan,0.001
1,187,5.840620040893555,0.48906999826431274,nan,nan,0.001,nan,0.001
1,188,5.871364593505859,0.491834431886673,nan,nan,0.001,nan,0.001
1,189,5.902278900146484,0.4403962194919586,nan,nan,0.001,nan,0.001
1,190,5.933201789855957,0.4792456328868866,nan,nan,0.001,nan,0.001
1,191,5.96414589881897,0.4825802743434906,nan,nan,0.001,nan,0.001
1,192,5.995229721069336,0.4645070731639862,nan,nan,0.001,nan,0.001
1,193,6.027125835418701,0.4819045662879944,nan,nan,0.001,nan,0.001
1,194,6.058214902877808,0.4536809027194977,nan,nan,0.001,nan,0.001
1,195,6.088978052139282,0.5561962723731995,nan,nan,0.001,nan,0.001
1,196,6.119847774505615,0.5844760537147522,nan,nan,0.001,nan,0.001
1,197,6.15071439743042,0.3317737281322479,nan,nan,0.001,nan,0.001
1,198,6.181456804275513,0.40403294563293457,nan,nan,0.001,nan,0.001
1,199,6.2137627601623535,0.39539816975593567,nan,nan,0.001,nan,0.001
1,200,6.2449071407318115,0.49267470836639404,nan,nan,0.001,nan,0.001
1,201,6.276200771331787,0.6016266942024231,nan,nan,0.001,nan,0.001
1,202,6.307252407073975,0.4428448975086212,nan,nan,0.001,nan,0.001
1,203,6.3382744789123535,0.4146990478038788,nan,nan,0.001,nan,0.001
1,204,6.3697075843811035,0.5916699171066284,nan,nan,0.001,nan,0.001
1,205,6.400897264480591,0.5426515340805054,nan,nan,0.001,nan,0.001
1,206,6.43239688873291,0.45704349875450134,nan,nan,0.001,nan,0.001
1,207,6.46390962600708,0.4747849106788635,nan,nan,0.001,nan,0.001
1,208,6.495021343231201,0.5089151263237,nan,nan,0.001,nan,0.001
1,209,6.526075601577759,0.5472742319107056,nan,nan,0.001,nan,0.001
1,210,6.557242393493652,0.48608842492103577,nan,nan,0.001,nan,0.001
1,211,6.588373184204102,0.5584962964057922,nan,nan,0.001,nan,0.001
1,212,6.619145631790161,0.43192142248153687,nan,nan,0.001,nan,0.001
1,213,6.650021076202393,0.3849577009677887,nan,nan,0.001,nan,0.001
1,214,6.680994749069214,0.45261797308921814,nan,nan,0.001,nan,0.001
1,215,6.711716890335083,0.5079231262207031,nan,nan,0.001,nan,0.001
1,216,6.742635726928711,0.3958561420440674,nan,nan,0.001,nan,0.001
1,217,6.773771047592163,0.4859899878501892,nan,nan,0.001,nan,0.001
1,218,6.804641246795654,0.48626047372817993,nan,nan,0.001,nan,0.001
1,219,6.835466623306274,0.36723706126213074,nan,nan,0.001,nan,0.001
1,220,6.866365671157837,0.5301042199134827,nan,nan,0.001,nan,0.001
1,221,6.897223949432373,0.4439302384853363,nan,nan,0.001,nan,0.001
1,222,6.928232908248901,0.5255457162857056,nan,nan,0.001,nan,0.001
1,223,6.959341287612915,0.5584733486175537,nan,nan,0.001,nan,0.001
1,224,6.990187406539917,0.35831961035728455,nan,nan,0.001,nan,0.001
1,225,7.021150350570679,0.5364606380462646,nan,nan,0.001,nan,0.001
1,226,7.051838397979736,0.5315862894058228,nan,nan,0.001,nan,0.001
1,227,7.082385540008545,0.47181981801986694,nan,nan,0.001,nan,0.001
1,228,7.113688707351685,0.39505472779273987,nan,nan,0.001,nan,0.001
1,229,7.144495725631714,0.5637354850769043,nan,nan,0.001,nan,0.001
1,230,7.175318002700806,0.5508321523666382,nan,nan,0.001,nan,0.001
1,231,7.206204652786255,0.4014521539211273,nan,nan,0.001,nan,0.001
1,232,7.237725257873535,0.4355434775352478,nan,nan,0.001,nan,0.001
1,233,7.269042015075684,0.4854271411895752,nan,nan,0.001,nan,0.001
1,234,7.299835681915283,0.5384349822998047,nan,nan,0.001,nan,0.001
1,235,7.3335041999816895,0.4941151738166809,nan,nan,0.001,nan,0.001
1,236,7.364661693572998,0.5376052260398865,nan,nan,0.001,nan,0.001
1,237,7.395709037780762,0.4879346489906311,nan,nan,0.001,nan,0.001
1,238,7.426668405532837,0.36812421679496765,nan,nan,0.001,nan,0.001
1,239,7.457598686218262,0.324833482503891,nan,nan,0.001,nan,0.001
1,240,7.488416433334351,0.4349580407142639,nan,nan,0.001,nan,0.001
1,241,7.519374370574951,0.40990522503852844,nan,nan,0.001,nan,0.001
1,242,7.5504114627838135,0.3884386718273163,nan,nan,0.001,nan,0.001
1,243,7.581118583679199,0.39452260732650757,nan,nan,0.001,nan,0.001
1,244,7.612181901931763,0.38442254066467285,nan,nan,0.001,nan,0.001
1,245,7.643776178359985,0.48396486043930054,nan,nan,0.001,nan,0.001
1,246,7.674739599227905,0.46516457200050354,nan,nan,0.001,nan,0.001
1,247,7.7064735889434814,0.4045482277870178,nan,nan,0.001,nan,0.001
1,248,7.737688302993774,0.45224976539611816,nan,nan,0.001,nan,0.001
1,249,7.768765926361084,0.5418529510498047,nan,nan,0.001,nan,0.001
1,250,7.799608469009399,0.4865664541721344,nan,nan,0.001,nan,0.001
1,251,7.830786228179932,0.5397840142250061,nan,nan,0.001,nan,0.001
1,252,7.8615522384643555,0.46058329939842224,nan,nan,0.001,nan,0.001
1,253,7.89229154586792,0.3813158869743347,nan,nan,0.001,nan,0.001
1,254,7.922876358032227,0.4042873680591583,nan,nan,0.001,nan,0.001
1,255,7.953508377075195,0.3636641204357147,nan,nan,0.001,nan,0.001
1,256,7.984367847442627,0.38435328006744385,nan,nan,0.001,nan,0.001
1,257,8.015157461166382,0.4264149069786072,nan,nan,0.001,nan,0.001
1,258,8.046715497970581,0.40454038977622986,nan,nan,0.001,nan,0.001
1,259,8.077725172042847,0.37710365653038025,nan,nan,0.001,nan,0.001
1,260,8.108740329742432,0.37396079301834106,nan,nan,0.001,nan,0.001
1,261,8.139734268188477,0.467874675989151,nan,nan,0.001,nan,0.001
1,262,8.170444011688232,0.43144044280052185,nan,nan,0.001,nan,0.001
1,263,8.201157569885254,0.4947247803211212,nan,nan,0.001,nan,0.001
1,264,8.231988430023193,0.48141777515411377,nan,nan,0.001,nan,0.001
1,265,8.263080596923828,0.3093709349632263,nan,nan,0.001,nan,0.001
1,266,8.293896198272705,0.37839779257774353,nan,nan,0.001,nan,0.001
1,267,8.324904680252075,0.4150392413139343,nan,nan,0.001,nan,0.001
1,268,8.35610318183899,0.3680981397628784,nan,nan,0.001,nan,0.001
1,269,8.387219667434692,0.4543505907058716,nan,nan,0.001,nan,0.001
1,270,8.418721675872803,0.45061713457107544,nan,nan,0.001,nan,0.001
1,271,8.450278282165527,0.4956587851047516,nan,nan,0.001,nan,0.001
1,272,8.481353044509888,0.4036973714828491,nan,nan,0.001,nan,0.001
1,273,8.51240849494934,0.4508236348628998,nan,nan,0.001,nan,0.001
1,274,8.543752431869507,0.4011283218860626,nan,nan,0.001,nan,0.001
1,275,8.574496746063232,0.6218205094337463,nan,nan,0.001,nan,0.001
1,276,8.605456113815308,0.49674925208091736,nan,nan,0.001,nan,0.001
1,277,8.636759519577026,0.4258081316947937,nan,nan,0.001,nan,0.001
1,278,8.667826890945435,0.42483487725257874,nan,nan,0.001,nan,0.001
1,279,8.698859214782715,0.3692800998687744,nan,nan,0.001,nan,0.001
1,280,8.729743719100952,0.5405647158622742,nan,nan,0.001,nan,0.001
1,281,8.7607262134552,0.5085086822509766,nan,nan,0.001,nan,0.001
1,282,8.792856693267822,0.3606186807155609,nan,nan,0.001,nan,0.001
1,283,8.824302196502686,0.4180120825767517,nan,nan,0.001,nan,0.001
1,284,8.856111526489258,0.4360380470752716,nan,nan,0.001,nan,0.001
1,285,8.887023210525513,0.4200825095176697,nan,nan,0.001,nan,0.001
1,286,8.917922019958496,0.35126781463623047,nan,nan,0.001,nan,0.001
1,287,8.94896674156189,0.40260282158851624,nan,nan,0.001,nan,0.001
1,288,8.979722738265991,0.4907032549381256,nan,nan,0.001,nan,0.001
1,289,9.01039433479309,0.4274570941925049,nan,nan,0.001,nan,0.001
1,290,9.04074239730835,0.37464070320129395,nan,nan,0.001,nan,0.001
1,291,9.07151460647583,0.4346408247947693,nan,nan,0.001,nan,0.001
1,292,9.102409362792969,0.347870409488678,nan,nan,0.001,nan,0.001
1,293,9.133265018463135,0.33731234073638916,nan,nan,0.001,nan,0.001
1,294,9.164341449737549,0.40751171112060547,nan,nan,0.001,nan,0.001
1,295,9.195394039154053,0.45601245760917664,nan,nan,0.001,nan,0.001
1,296,9.226260423660278,0.48022350668907166,nan,nan,0.001,nan,0.001
1,297,9.257403135299683,0.410678505897522,nan,nan,0.001,nan,0.001
1,298,9.28838300704956,0.4498506486415863,nan,nan,0.001,nan,0.001
1,299,9.319435596466064,0.5391754508018494,nan,nan,0.001,nan,0.001
1,300,9.350205659866333,0.36138832569122314,nan,nan,0.001,nan,0.001
1,301,9.380810976028442,0.461752712726593,nan,nan,0.001,nan,0.001
1,302,9.411621332168579,0.39803346991539,nan,nan,0.001,nan,0.001
1,303,9.442584037780762,0.41056251525878906,nan,nan,0.001,nan,0.001
1,304,9.473772048950195,0.41605204343795776,nan,nan,0.001,nan,0.001
1,305,9.504828453063965,0.5467265248298645,nan,nan,0.001,nan,0.001
1,306,9.535848379135132,0.378461092710495,nan,nan,0.001,nan,0.001
1,307,9.567098617553711,0.4091365933418274,nan,nan,0.001,nan,0.001
1,308,9.598068952560425,0.5611299276351929,nan,nan,0.001,nan,0.001
1,309,9.629611253738403,0.513270914554596,nan,nan,0.001,nan,0.001
1,310,9.66077446937561,0.35622864961624146,nan,nan,0.001,nan,0.001
1,311,9.691716432571411,0.3403676748275757,nan,nan,0.001,nan,0.001
1,312,9.722795248031616,0.38104093074798584,nan,nan,0.001,nan,0.001
1,313,9.754106760025024,0.4310057759284973,nan,nan,0.001,nan,0.001
1,314,9.785229682922363,0.4452241063117981,nan,nan,0.001,nan,0.001
1,315,9.816020011901855,0.42665961384773254,nan,nan,0.001,nan,0.001
1,316,9.847073554992676,0.4502154588699341,nan,nan,0.001,nan,0.001
1,317,9.878144264221191,0.40323176980018616,nan,nan,0.001,nan,0.001
1,318,9.909010887145996,0.4568425118923187,nan,nan,0.001,nan,0.001
1,319,9.939995288848877,0.3335113823413849,nan,nan,0.001,nan,0.001
1,320,9.971312999725342,0.49670860171318054,nan,nan,0.001,nan,0.001
1,321,10.002240657806396,0.3940027952194214,nan,nan,0.001,nan,0.001
1,322,10.033740758895874,0.5247595906257629,nan,nan,0.001,nan,0.001
1,323,10.06511378288269,0.3453240692615509,nan,nan,0.001,nan,0.001
1,324,10.095969915390015,0.3677191138267517,nan,nan,0.001,nan,0.001
1,325,10.126983165740967,0.4483509063720703,nan,nan,0.001,nan,0.001
1,326,10.15796446800232,0.5177264213562012,nan,nan,0.001,nan,0.001
1,327,10.188988447189331,0.5280903577804565,nan,nan,0.001,nan,0.001
1,328,10.220588445663452,0.38855108618736267,nan,nan,0.001,nan,0.001
1,329,10.254945039749146,0.4369669556617737,nan,nan,0.001,nan,0.001
1,330,10.286288738250732,0.5101645588874817,nan,nan,0.001,nan,0.001
1,331,10.317348957061768,0.4214300811290741,nan,nan,0.001,nan,0.001
1,332,10.348706245422363,0.4396255612373352,nan,nan,0.001,nan,0.001
1,333,10.379934549331665,0.6136806011199951,nan,nan,0.001,nan,0.001
1,334,10.411208152770996,0.45879867672920227,nan,nan,0.001,nan,0.001
1,335,10.442491054534912,0.3896212875843048,nan,nan,0.001,nan,0.001
1,336,10.473498106002808,0.35471948981285095,nan,nan,0.001,nan,0.001
1,337,10.504653215408325,0.38409918546676636,nan,nan,0.001,nan,0.001
1,338,10.535778522491455,0.40215015411376953,nan,nan,0.001,nan,0.001
1,339,10.567268371582031,0.4281608760356903,nan,nan,0.001,nan,0.001
1,340,10.598914861679077,0.3498535454273224,nan,nan,0.001,nan,0.001
1,341,10.630183696746826,0.5052610635757446,nan,nan,0.001,nan,0.001
1,342,10.66125750541687,0.32872989773750305,nan,nan,0.001,nan,0.001
1,343,10.69227933883667,0.45794224739074707,nan,nan,0.001,nan,0.001
1,344,10.723263502120972,0.41184142231941223,nan,nan,0.001,nan,0.001
1,345,10.75444507598877,0.5130531787872314,nan,nan,0.001,nan,0.001
1,346,10.785230159759521,0.30707013607025146,nan,nan,0.001,nan,0.001
1,347,10.816039800643921,0.4107992649078369,nan,nan,0.001,nan,0.001
1,348,10.847023010253906,0.43767881393432617,nan,nan,0.001,nan,0.001
1,349,10.878247499465942,0.49731147289276123,nan,nan,0.001,nan,0.001
1,350,10.909215211868286,0.4216221272945404,nan,nan,0.001,nan,0.001
1,351,10.940249681472778,0.45445966720581055,nan,nan,0.001,nan,0.001
1,352,10.971321821212769,0.3794859051704407,nan,nan,0.001,nan,0.001
1,353,11.00209903717041,0.43276482820510864,nan,nan,0.001,nan,0.001
1,354,11.03357720375061,0.3652038872241974,nan,nan,0.001,nan,0.001
1,355,11.06456732749939,0.47749340534210205,nan,nan,0.001,nan,0.001
1,356,11.095300436019897,0.39244672656059265,nan,nan,0.001,nan,0.001
1,357,11.126269578933716,0.35826823115348816,nan,nan,0.001,nan,0.001
1,358,11.157272100448608,0.44130948185920715,nan,nan,0.001,nan,0.001
1,359,11.188109636306763,0.5115824341773987,nan,nan,0.001,nan,0.001
1,360,11.219013214111328,0.4656895399093628,nan,nan,0.001,nan,0.001
1,361,11.25025463104248,0.4281722605228424,nan,nan,0.001,nan,0.001
1,362,11.28150749206543,0.3840787410736084,nan,nan,0.001,nan,0.001
1,363,11.312684059143066,0.4312937259674072,nan,nan,0.001,nan,0.001
1,364,11.343498468399048,0.34386318922042847,nan,nan,0.001,nan,0.001
